wardIndex,cityName,NAME3,wardName,wardNo,Unemployed,Employed,totalWorkforce
0,wuhan,HongShanQu,DongHuKaiFaQuZuoLingZhen,1,369,22679,14226
1,wuhan,QingShanQu,GongRenCunJieDaoBanShiChu,2,164,10088,6328
2,wuhan,HongShanQu,HePingJieDaoBanShiChu,3,1440,88336,55414
3,wuhan,XinZhouQu,FengHuangZhen,4,268,16449,10318
4,wuhan,JiangHanQu,MinYiJieBanShiChu,5,441,27066,16979
5,wuhan,JiangXiaQu,ZhiFangJieBanShiChu,6,2420,148424,93107
6,wuhan,JiangAnQu,XiMaJieBanShiChu,7,746,45763,28707
7,wuhan,JiangHanQu,QianJinJieBanShiChu,8,438,26908,16880
8,wuhan,HongShanQu,LuoNanJieDao,9,3081,188947,118528
9,wuhan,WuChangQu,ShiDongJieBanShiChu,10,82,5037,3160
10,wuhan,HongShanQu,TianXingXiang,11,44,2759,1730
11,wuhan,HanYangQu,YingWuJieBanShiChu,12,637,39056,24500
12,wuhan,QingShanQu,XinGouQiaoJieDaoBanShiChu,13,638,39121,24541
13,wuhan,JiangHanQu,ManChunJieBanShiChu,14,295,18106,11358
14,wuhan,QingShanQu,WuGangChangQu,15,3,201,126
15,wuhan,XinZhouQu,LiJiJieDaoBanShiChu,16,537,32975,20685
16,wuhan,DongXiHuQu,ZouMaLingJieDaoBanShiChu,17,321,19733,12379
17,wuhan,JiangXiaQu,ShuAnXiang,18,113,6984,4381
18,wuhan,JiangXiaQu,DongHuKaiFaQuLiuFangJieBanShiChu,19,183,11239,7050
19,wuhan,HanYangQu,QingChuanJieBanShiChu,20,210,12879,8079
20,wuhan,JiangXiaQu,DongHuKaiFaQuBaoXieBanShiChu,21,314,19277,12093
21,wuhan,JiangAnQu,ErQiJieBanShiChu,22,985,60413,37897
22,wuhan,HanYangQu,JiangDiJieBanShiChu,23,300,18428,11560
23,wuhan,DongXiHuQu,CiHuiJieDaoBanShiChu,24,197,12081,7578
24,wuhan,JiangHanQu,HanXingJieBanShiChu,25,1863,114248,71669
25,wuhan,HuangBeiQu,QiJiaWanJieDao,26,725,44487,27907
