wardIndex,cityName,NAME3,wardName,wardNo,Households
0,wuhan,HongShanQu,DongHuKaiFaQuZuoLingZhen,1,10372
1,wuhan,QingShanQu,GongRenCunJieDaoBanShiChu,2,5299
2,wuhan,HongShanQu,HePingJieDaoBanShiChu,3,40400
3,wuhan,XinZhouQu,FengHuangZhen,4,8689
4,wuhan,JiangHanQu,MinYiJieBanShiChu,5,13375
5,wuhan,JiangXiaQu,ZhiFangJieBanShiChu,6,70934
6,wuhan,JiangAnQu,XiMaJieBanShiChu,7,23081
7,wuhan,JiangHanQu,QianJinJieBanShiChu,8,13297
8,wuhan,HongShanQu,LuoNanJieDao,9,86408
9,wuhan,WuChangQu,ShiDongJieBanShiChu,10,2497
10,wuhan,HongShanQu,TianXingXiang,11,1261
11,wuhan,HanYangQu,YingWuJieBanShiChu,12,19465
12,wuhan,QingShanQu,XinGouQiaoJieDaoBanShiChu,13,20584
13,wuhan,JiangHanQu,ManChunJieBanShiChu,14,8947
14,wuhan,QingShanQu,WuGangChangQu,15,105
15,wuhan,XinZhouQu,LiJiJieDaoBanShiChu,16,17419
16,wuhan,DongXiHuQu,ZouMaLingJieDaoBanShiChu,17,10021
17,wuhan,JiangXiaQu,ShuAnXiang,18,3338
18,wuhan,JiangXiaQu,DongHuKaiFaQuLiuFangJieBanShiChu,19,5372
19,wuhan,HanYangQu,QingChuanJieBanShiChu,20,6422
20,wuhan,JiangXiaQu,DongHuKaiFaQuBaoXieBanShiChu,21,9215
21,wuhan,JiangAnQu,ErQiJieBanShiChu,22,30470
22,wuhan,HanYangQu,JiangDiJieBanShiChu,23,9179
23,wuhan,DongXiHuQu,CiHuiJieDaoBanShiChu,24,6135
24,wuhan,JiangHanQu,HanXingJieBanShiChu,25,56461
25,wuhan,HuangBeiQu,QiJiaWanJieDao,26,24068
26,wuhan,CaiDianQu,ZhuRuJieBanShiChu,27,17734
27,wuhan,WuChangQu,LiangDaoJieBanShiChu,28,24246
28,wuhan,JiangAnQu,DanShuiChiJieBanShiChu,29,21647
29,wuhan,DongXiHuQu,ChangQingJieDaoBanShiChu,30,15607
30,wuhan,JiangXiaQu,HuSiZhen,31,5122
31,wuhan,HanYangQu,JianQiaoJieBanShiChu,32,17597
32,wuhan,QiaoKouQu,RongHuaJieDaoBanShiChu,33,18958
33,wuhan,HanNanQu,DengNanJieDaoBanShiChu,34,5130
34,wuhan,JiangAnQu,BaiBuTingHuaYuan,35,16448
35,wuhan,JiangXiaQu,JinKouJieBanShiChu,36,19696
36,wuhan,WuChangQu,NanHuJieBanShiChu,37,19709
37,wuhan,JiangAnQu,HouHuJieBanShiChu,38,51443
38,wuhan,HanYangQu,JiangHanErQiaoJieBanShiChu,39,28480
39,wuhan,HongShanQu,HongShanJieDaoBanShiChu,40,61828
40,wuhan,XinZhouQu,XinChongZhen,41,20640
41,wuhan,DongXiHuQu,JiangJunLuJieDaoBanShiChu,42,15836
42,wuhan,QingShanQu,GangHuaCunJieDaoBanShiChu,43,28938
43,wuhan,JiangXiaQu,FaSiZhen,44,6363
44,wuhan,HuangBeiQu,LiJiaJiJieDao,45,26305
45,wuhan,XinZhouQu,ShuangLiuJieDaoBanShiChu,46,18498
46,wuhan,XinZhouQu,ZhangDuHuNongChang,47,2872
47,wuhan,QingShanQu,BaiYuShanJieDaoBanShiChu,48,14128
48,wuhan,CaiDianQu,YongAnJieBanShiChu,49,10113
49,wuhan,XinZhouQu,ZhuChengJieDaoBanShiChu,50,60568
50,wuhan,WuChangQu,ZhongHuaLuJieBanShiChu,51,16586
51,wuhan,JiangXiaQu,AnShanZhen,52,4985
